,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,month_int,cons.conf.idx,emp.var.rate,euribor3m,nr.employed,cons.price.idx
12701,41,services,married,secondary,no,650,yes,no,cellular,7,jul,2.48,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12702,41,housemaid,married,primary,no,1618,yes,no,cellular,7,jul,2.23,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12703,60,retired,married,primary,no,-63,yes,no,cellular,7,jul,23.9,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12704,58,management,married,primary,no,4850,no,no,cellular,7,jul,2.98,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12705,56,blue-collar,married,primary,no,409,yes,no,telephone,7,jul,2.93,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12706,36,unemployed,single,primary,no,0,yes,no,telephone,7,jul,1.05,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12707,39,management,married,tertiary,no,1007,yes,no,cellular,7,jul,1.43,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12708,46,management,married,primary,no,312,yes,no,cellular,7,jul,1.88,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12709,58,blue-collar,divorced,primary,no,820,yes,no,cellular,7,jul,3.33,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12710,52,management,married,secondary,no,3369,no,no,cellular,7,jul,3.27,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12711,41,services,married,secondary,no,841,yes,no,cellular,7,jul,4.17,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12712,59,blue-collar,married,secondary,no,-1336,no,yes,cellular,7,jul,7.5,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12714,43,management,divorced,secondary,no,0,no,no,cellular,7,jul,1.25,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12715,50,blue-collar,married,primary,no,9301,yes,no,cellular,7,jul,2.27,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12716,49,technician,married,primary,no,486,no,no,telephone,7,jul,3.82,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12717,51,self-employed,married,secondary,yes,34,no,yes,cellular,7,jul,3.33,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12718,39,technician,single,secondary,no,506,yes,no,cellular,7,jul,11.97,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12719,38,management,married,tertiary,no,1444,yes,no,cellular,7,jul,2.32,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12720,30,services,single,secondary,no,0,yes,no,cellular,7,jul,2.68,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12721,41,technician,married,secondary,no,923,yes,no,cellular,7,jul,2.35,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12722,45,unemployed,divorced,secondary,no,-44,yes,no,cellular,7,jul,4.27,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12723,54,services,divorced,tertiary,no,413,no,no,cellular,7,jul,0.65,9,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12724,47,admin.,single,secondary,no,3531,yes,no,cellular,7,jul,0.82,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12725,53,management,divorced,tertiary,no,243,yes,no,cellular,7,jul,1.1,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12726,41,blue-collar,married,primary,no,484,yes,no,cellular,7,jul,5.35,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12727,42,blue-collar,divorced,primary,no,213,yes,no,cellular,7,jul,7.23,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12728,33,services,single,secondary,no,170,no,no,cellular,7,jul,13.03,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12729,34,self-employed,married,tertiary,no,-236,yes,no,cellular,7,jul,1.97,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12730,54,blue-collar,divorced,secondary,no,1613,yes,no,cellular,7,jul,2.13,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12731,37,entrepreneur,married,tertiary,no,555,no,no,cellular,7,jul,1.73,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12732,59,admin.,married,secondary,no,1914,yes,no,cellular,7,jul,2.1,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12733,38,technician,married,secondary,no,2220,no,no,cellular,7,jul,1.45,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12734,27,admin.,single,secondary,no,450,yes,no,cellular,7,jul,1.78,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12735,59,management,married,tertiary,no,553,yes,no,cellular,7,jul,21.2,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12736,31,admin.,single,secondary,no,92,yes,no,cellular,7,jul,6.68,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12738,45,blue-collar,divorced,primary,no,1805,no,no,cellular,7,jul,12.63,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12739,37,self-employed,married,secondary,no,1523,no,yes,cellular,7,jul,5.27,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12740,42,blue-collar,divorced,secondary,no,3407,no,no,cellular,7,jul,4.62,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12741,40,blue-collar,married,primary,no,254,yes,no,cellular,7,jul,1.78,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12742,42,unemployed,married,primary,no,11,no,no,cellular,7,jul,1.85,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12743,27,management,single,secondary,no,1609,yes,no,cellular,7,jul,6.0,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12744,45,management,married,tertiary,no,1447,yes,yes,cellular,7,jul,7.68,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12745,43,technician,divorced,tertiary,no,27,no,no,cellular,7,jul,6.87,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12746,41,admin.,married,secondary,no,125,no,no,cellular,7,jul,4.07,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12748,47,management,married,primary,no,1797,no,no,cellular,7,jul,1.03,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12749,44,blue-collar,married,primary,no,2,no,yes,telephone,7,jul,0.77,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12751,40,admin.,married,secondary,no,1395,yes,yes,cellular,7,jul,2.03,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12752,33,technician,divorced,secondary,no,522,no,yes,cellular,7,jul,9.32,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12753,36,entrepreneur,divorced,tertiary,no,776,no,yes,cellular,7,jul,12.03,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12754,25,blue-collar,married,primary,no,0,no,no,cellular,7,jul,1.07,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12755,45,technician,married,secondary,no,879,no,no,cellular,7,jul,10.35,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12756,27,services,single,secondary,no,266,no,yes,cellular,7,jul,3.87,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12757,43,services,married,primary,no,29,no,no,telephone,7,jul,4.32,8,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12758,37,self-employed,married,secondary,no,1633,no,no,cellular,7,jul,10.48,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12760,48,management,married,tertiary,no,666,yes,no,cellular,7,jul,5.28,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12761,30,services,married,secondary,no,-134,yes,yes,cellular,7,jul,1.02,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12762,35,self-employed,married,secondary,no,0,yes,no,telephone,7,jul,2.1,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12764,46,unemployed,married,secondary,no,926,no,no,cellular,7,jul,6.42,5,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12765,43,technician,married,secondary,no,-796,no,no,cellular,7,jul,3.17,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12766,52,retired,married,tertiary,no,493,no,no,cellular,7,jul,1.02,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12767,37,services,married,secondary,no,343,yes,yes,cellular,7,jul,1.23,7,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12768,45,technician,married,secondary,no,268,no,no,cellular,7,jul,1.6,14,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12769,54,management,divorced,tertiary,no,92,no,yes,telephone,7,jul,1.43,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12770,28,management,single,tertiary,no,0,no,no,cellular,7,jul,1.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12772,44,services,married,secondary,no,182,yes,yes,cellular,7,jul,3.48,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12773,57,admin.,married,secondary,no,1143,no,no,telephone,7,jul,1.15,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12774,46,blue-collar,married,secondary,no,4044,no,no,cellular,7,jul,5.43,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12775,27,blue-collar,single,secondary,no,77,no,yes,cellular,7,jul,8.28,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12776,51,technician,married,secondary,no,1327,no,no,cellular,7,jul,0.35,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12777,29,admin.,married,secondary,no,488,no,yes,cellular,7,jul,3.72,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12778,57,technician,married,secondary,no,0,no,no,cellular,7,jul,3.93,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12779,59,retired,divorced,secondary,no,23,no,no,cellular,7,jul,1.1,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12780,57,retired,married,primary,no,808,no,no,telephone,7,jul,4.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12781,26,services,married,secondary,no,-236,yes,yes,cellular,7,jul,7.65,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12782,36,services,married,secondary,no,-274,no,no,cellular,7,jul,3.62,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12783,35,management,single,tertiary,no,12,no,no,cellular,7,jul,4.82,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12784,40,admin.,single,secondary,no,-1,no,no,cellular,7,jul,2.88,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12785,51,blue-collar,married,primary,no,505,no,yes,cellular,7,jul,2.17,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12786,45,services,divorced,secondary,no,88,no,yes,cellular,7,jul,5.53,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12787,33,blue-collar,single,primary,no,777,no,no,cellular,7,jul,4.38,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12788,53,blue-collar,married,primary,no,0,no,no,cellular,7,jul,1.9,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12789,39,blue-collar,single,primary,no,366,yes,yes,cellular,7,jul,2.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12790,43,management,married,tertiary,no,460,no,yes,cellular,7,jul,1.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12791,60,blue-collar,divorced,primary,no,3427,no,no,cellular,7,jul,2.82,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12792,28,housemaid,single,primary,no,332,no,no,cellular,7,jul,6.42,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12793,46,technician,married,secondary,no,967,no,no,cellular,7,jul,4.13,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12794,56,management,married,primary,no,21,no,no,cellular,7,jul,1.97,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12795,32,self-employed,single,tertiary,no,2559,no,no,cellular,7,jul,14.82,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12796,32,admin.,married,secondary,no,1604,no,yes,cellular,7,jul,10.42,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12797,34,blue-collar,single,primary,yes,-2,no,yes,cellular,7,jul,3.32,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12798,30,management,single,tertiary,no,0,no,no,cellular,7,jul,4.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12799,51,blue-collar,married,secondary,no,505,yes,no,telephone,7,jul,3.32,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12800,29,services,married,tertiary,no,0,no,yes,cellular,7,jul,2.63,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12801,35,services,single,secondary,no,2110,no,yes,cellular,7,jul,0.65,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12802,29,blue-collar,married,primary,no,0,yes,no,telephone,7,jul,4.27,15,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12803,31,blue-collar,single,secondary,no,1,no,yes,cellular,7,jul,2.9,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12805,29,blue-collar,married,primary,no,57,no,yes,cellular,7,jul,7.68,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12806,44,housemaid,married,primary,no,398,no,no,cellular,7,jul,3.12,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12807,32,services,single,secondary,no,-1139,yes,no,cellular,7,jul,3.35,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12808,36,blue-collar,married,secondary,no,537,no,yes,cellular,7,jul,3.43,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12809,40,technician,married,secondary,no,351,no,yes,cellular,7,jul,2.32,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12810,37,management,single,tertiary,no,0,no,no,cellular,7,jul,10.72,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12811,45,management,single,secondary,no,-57,no,yes,cellular,7,jul,4.37,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12813,39,admin.,married,secondary,no,2319,no,no,cellular,7,jul,1.4,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12814,25,technician,single,tertiary,no,437,no,yes,cellular,7,jul,2.02,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12815,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,1.0,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12816,34,technician,single,secondary,no,232,no,no,cellular,7,jul,2.17,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12817,37,admin.,single,secondary,no,-117,no,yes,cellular,7,jul,1.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12818,51,retired,married,secondary,no,3003,yes,no,cellular,7,jul,2.48,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12819,35,admin.,single,secondary,no,0,no,yes,cellular,7,jul,8.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12820,49,blue-collar,married,primary,no,-167,no,no,cellular,7,jul,0.85,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12821,28,technician,single,secondary,no,909,no,yes,cellular,7,jul,8.87,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12822,26,blue-collar,single,secondary,no,428,no,yes,cellular,7,jul,9.58,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12823,27,management,married,tertiary,no,54,yes,yes,cellular,7,jul,1.2,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12824,45,admin.,divorced,secondary,no,-176,no,yes,cellular,7,jul,9.57,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
12825,34,admin.,divorced,secondary,no,564,no,yes,cellular,7,jul,7.42,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12826,27,services,married,secondary,no,221,no,yes,cellular,7,jul,9.23,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12827,35,services,divorced,secondary,no,35,yes,no,cellular,7,jul,2.15,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12828,48,admin.,married,secondary,no,8,no,yes,cellular,7,jul,0.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12829,33,services,single,secondary,no,149,no,yes,cellular,7,jul,4.23,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12830,31,technician,single,secondary,no,475,no,no,cellular,7,jul,3.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12832,56,housemaid,divorced,secondary,no,977,no,no,cellular,7,jul,20.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12833,29,blue-collar,single,primary,no,161,no,yes,cellular,7,jul,4.92,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12834,40,management,divorced,tertiary,no,492,no,yes,cellular,7,jul,2.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12835,35,admin.,married,secondary,no,0,no,no,cellular,7,jul,1.3,11,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12836,30,admin.,married,primary,no,40,yes,yes,cellular,7,jul,2.9,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12838,34,blue-collar,married,secondary,no,205,yes,yes,cellular,7,jul,5.15,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12839,26,blue-collar,single,secondary,no,123,no,yes,cellular,7,jul,3.48,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12840,41,management,married,secondary,no,0,no,yes,cellular,7,jul,10.5,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12842,58,blue-collar,married,secondary,no,2146,no,no,cellular,7,jul,3.43,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12843,35,blue-collar,married,primary,no,63,no,yes,cellular,7,jul,4.05,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12844,27,technician,married,secondary,no,-428,no,no,cellular,7,jul,7.52,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12845,40,management,married,tertiary,no,0,no,no,cellular,7,jul,1.85,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12846,52,technician,divorced,tertiary,yes,-1014,no,yes,cellular,7,jul,2.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12847,38,technician,married,secondary,no,-228,yes,no,cellular,7,jul,2.7,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12848,30,blue-collar,single,secondary,no,-42,no,no,cellular,7,jul,1.43,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12849,25,blue-collar,single,secondary,no,218,no,yes,cellular,7,jul,7.47,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12850,57,blue-collar,married,primary,no,282,no,yes,cellular,7,jul,4.35,12,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12851,29,services,married,secondary,no,123,no,yes,cellular,7,jul,2.52,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12852,48,blue-collar,married,primary,no,14,no,yes,cellular,7,jul,2.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12853,29,blue-collar,married,secondary,no,247,no,yes,cellular,7,jul,3.32,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12855,38,housemaid,divorced,secondary,no,216,no,no,cellular,7,jul,1.62,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12856,29,technician,married,secondary,no,-28,no,no,cellular,7,jul,8.85,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12857,40,blue-collar,married,secondary,no,326,yes,yes,cellular,7,jul,1.87,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12858,31,admin.,single,secondary,no,119,no,no,cellular,7,jul,1.33,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12859,34,blue-collar,married,primary,no,69,no,no,telephone,7,jul,0.68,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12860,29,blue-collar,married,primary,no,707,no,no,cellular,7,jul,3.5,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
12861,44,housemaid,married,primary,no,-227,no,yes,cellular,7,jul,2.55,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
