age,job,marital,education,default,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,y,month_int,cons.conf.idx,emp.var.rate,euribor3m,nr.employed,cons.price.idx
34,services,married,secondary,no,295,yes,yes,4,1.07,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
28,services,single,secondary,no,-116,no,yes,4,4.6,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
33,management,married,secondary,no,4385,no,yes,4,1.53,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,services,married,secondary,no,137,no,no,4,6.78,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
34,admin.,single,secondary,no,296,no,no,7,2.45,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,admin.,divorced,secondary,no,534,no,no,7,2.47,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
44,entrepreneur,married,secondary,no,93,no,no,7,2.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
36,services,married,secondary,no,-27,yes,yes,7,2.52,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
49,blue-collar,married,primary,no,-157,yes,no,7,8.18,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
55,blue-collar,married,secondary,no,49,yes,no,7,8.23,4,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
51,technician,married,secondary,no,216,no,no,7,10.25,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
51,management,married,tertiary,no,1421,yes,no,7,2.53,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
38,blue-collar,married,secondary,no,222,yes,yes,7,2.73,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
59,entrepreneur,married,tertiary,no,1728,no,no,7,9.58,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
54,management,divorced,tertiary,no,5253,yes,yes,7,0.28,19,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,management,single,tertiary,no,47,yes,no,7,5.27,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
60,entrepreneur,divorced,primary,no,2648,no,no,7,2.47,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
34,services,married,secondary,no,0,no,no,7,2.67,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
31,admin.,single,secondary,no,-182,yes,no,7,3.02,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,technician,married,secondary,yes,-313,no,yes,7,1.48,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
53,blue-collar,married,primary,no,465,yes,no,7,1.85,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
47,blue-collar,married,primary,yes,25,yes,yes,7,2.37,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
39,management,married,primary,no,551,no,yes,7,1.78,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
56,housemaid,married,primary,no,58,no,yes,7,3.78,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,services,married,secondary,no,650,yes,no,7,2.48,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,housemaid,married,primary,no,1618,yes,no,7,2.23,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
60,retired,married,primary,no,-63,yes,no,7,23.9,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
58,management,married,primary,no,4850,no,no,7,2.98,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
56,blue-collar,married,primary,no,409,yes,no,7,2.93,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
36,unemployed,single,primary,no,0,yes,no,7,1.05,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
39,management,married,tertiary,no,1007,yes,no,7,1.43,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
46,management,married,primary,no,312,yes,no,7,1.88,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
58,blue-collar,divorced,primary,no,820,yes,no,7,3.33,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
52,management,married,secondary,no,3369,no,no,7,3.27,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,services,married,secondary,no,841,yes,no,7,4.17,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
59,blue-collar,married,secondary,no,-1336,no,yes,7,7.5,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,management,divorced,secondary,no,0,no,no,7,1.25,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
50,blue-collar,married,primary,no,9301,yes,no,7,2.27,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
49,technician,married,primary,no,486,no,no,7,3.82,5,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
51,self-employed,married,secondary,yes,34,no,yes,7,3.33,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
39,technician,single,secondary,no,506,yes,no,7,11.97,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
38,management,married,tertiary,no,1444,yes,no,7,2.32,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,services,single,secondary,no,0,yes,no,7,2.68,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,technician,married,secondary,no,923,yes,no,7,2.35,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,unemployed,divorced,secondary,no,-44,yes,no,7,4.27,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
54,services,divorced,tertiary,no,413,no,no,7,0.65,9,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
47,admin.,single,secondary,no,3531,yes,no,7,0.82,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
53,management,divorced,tertiary,no,243,yes,no,7,1.1,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,blue-collar,married,primary,no,484,yes,no,7,5.35,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
42,blue-collar,divorced,primary,no,213,yes,no,7,7.23,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
33,services,single,secondary,no,170,no,no,7,13.03,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
34,self-employed,married,tertiary,no,-236,yes,no,7,1.97,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
54,blue-collar,divorced,secondary,no,1613,yes,no,7,2.13,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,entrepreneur,married,tertiary,no,555,no,no,7,1.73,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
59,admin.,married,secondary,no,1914,yes,no,7,2.1,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
38,technician,married,secondary,no,2220,no,no,7,1.45,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,admin.,single,secondary,no,450,yes,no,7,1.78,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
59,management,married,tertiary,no,553,yes,no,7,21.2,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
31,admin.,single,secondary,no,92,yes,no,7,6.68,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,blue-collar,divorced,primary,no,1805,no,no,7,12.63,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,self-employed,married,secondary,no,1523,no,yes,7,5.27,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
42,blue-collar,divorced,secondary,no,3407,no,no,7,4.62,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
40,blue-collar,married,primary,no,254,yes,no,7,1.78,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
42,unemployed,married,primary,no,11,no,no,7,1.85,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,management,single,secondary,no,1609,yes,no,7,6.0,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,management,married,tertiary,no,1447,yes,yes,7,7.68,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,technician,divorced,tertiary,no,27,no,no,7,6.87,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,admin.,married,secondary,no,125,no,no,7,4.07,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
47,management,married,primary,no,1797,no,no,7,1.03,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
44,blue-collar,married,primary,no,2,no,yes,7,0.77,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
40,admin.,married,secondary,no,1395,yes,yes,7,2.03,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
33,technician,divorced,secondary,no,522,no,yes,7,9.32,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
36,entrepreneur,divorced,tertiary,no,776,no,yes,7,12.03,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
25,blue-collar,married,primary,no,0,no,no,7,1.07,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,technician,married,secondary,no,879,no,no,7,10.35,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
27,services,single,secondary,no,266,no,yes,7,3.87,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,services,married,primary,no,29,no,no,7,4.32,8,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,self-employed,married,secondary,no,1633,no,no,7,10.48,2,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
48,management,married,tertiary,no,666,yes,no,7,5.28,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,services,married,secondary,no,-134,yes,yes,7,1.02,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,self-employed,married,secondary,no,0,yes,no,7,2.1,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
46,unemployed,married,secondary,no,926,no,no,7,6.42,5,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
43,technician,married,secondary,no,-796,no,no,7,3.17,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
52,retired,married,tertiary,no,493,no,no,7,1.02,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,services,married,secondary,no,343,yes,yes,7,1.23,7,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,technician,married,secondary,no,268,no,no,7,1.6,14,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
54,management,divorced,tertiary,no,92,no,yes,7,1.43,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
28,management,single,tertiary,no,0,no,no,7,1.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
44,services,married,secondary,no,182,yes,yes,7,3.48,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
57,admin.,married,secondary,no,1143,no,no,7,1.15,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
46,blue-collar,married,secondary,no,4044,no,no,7,5.43,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,blue-collar,single,secondary,no,77,no,yes,7,8.28,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
51,technician,married,secondary,no,1327,no,no,7,0.35,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,admin.,married,secondary,no,488,no,yes,7,3.72,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
57,technician,married,secondary,no,0,no,no,7,3.93,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
59,retired,divorced,secondary,no,23,no,no,7,1.1,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
57,retired,married,primary,no,808,no,no,7,4.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
26,services,married,secondary,no,-236,yes,yes,7,7.65,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
36,services,married,secondary,no,-274,no,no,7,3.62,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,management,single,tertiary,no,12,no,no,7,4.82,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
40,admin.,single,secondary,no,-1,no,no,7,2.88,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
51,blue-collar,married,primary,no,505,no,yes,7,2.17,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,services,divorced,secondary,no,88,no,yes,7,5.53,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
33,blue-collar,single,primary,no,777,no,no,7,4.38,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
53,blue-collar,married,primary,no,0,no,no,7,1.9,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
39,blue-collar,single,primary,no,366,yes,yes,7,2.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,management,married,tertiary,no,460,no,yes,7,1.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
60,blue-collar,divorced,primary,no,3427,no,no,7,2.82,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
28,housemaid,single,primary,no,332,no,no,7,6.42,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
46,technician,married,secondary,no,967,no,no,7,4.13,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
56,management,married,primary,no,21,no,no,7,1.97,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
32,self-employed,single,tertiary,no,2559,no,no,7,14.82,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
32,admin.,married,secondary,no,1604,no,yes,7,10.42,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
34,blue-collar,single,primary,yes,-2,no,yes,7,3.32,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,management,single,tertiary,no,0,no,no,7,4.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
51,blue-collar,married,secondary,no,505,yes,no,7,3.32,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,services,married,tertiary,no,0,no,yes,7,2.63,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,services,single,secondary,no,2110,no,yes,7,0.65,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,blue-collar,married,primary,no,0,yes,no,7,4.27,15,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
31,blue-collar,single,secondary,no,1,no,yes,7,2.9,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,blue-collar,married,primary,no,57,no,yes,7,7.68,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
44,housemaid,married,primary,no,398,no,no,7,3.12,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
32,services,single,secondary,no,-1139,yes,no,7,3.35,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
36,blue-collar,married,secondary,no,537,no,yes,7,3.43,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
40,technician,married,secondary,no,351,no,yes,7,2.32,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,management,single,tertiary,no,0,no,no,7,10.72,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,management,single,secondary,no,-57,no,yes,7,4.37,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
39,admin.,married,secondary,no,2319,no,no,7,1.4,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
25,technician,single,tertiary,no,437,no,yes,7,2.02,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,technician,single,secondary,no,879,no,yes,7,1.0,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
34,technician,single,secondary,no,232,no,no,7,2.17,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,admin.,single,secondary,no,-117,no,yes,7,1.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
51,retired,married,secondary,no,3003,yes,no,7,2.48,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,admin.,single,secondary,no,0,no,yes,7,8.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
49,blue-collar,married,primary,no,-167,no,no,7,0.85,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
28,technician,single,secondary,no,909,no,yes,7,8.87,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
26,blue-collar,single,secondary,no,428,no,yes,7,9.58,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,management,married,tertiary,no,54,yes,yes,7,1.2,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
45,admin.,divorced,secondary,no,-176,no,yes,7,9.57,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
34,admin.,divorced,secondary,no,564,no,yes,7,7.42,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,services,married,secondary,no,221,no,yes,7,9.23,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,services,divorced,secondary,no,35,yes,no,7,2.15,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
48,admin.,married,secondary,no,8,no,yes,7,0.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
33,services,single,secondary,no,149,no,yes,7,4.23,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
31,technician,single,secondary,no,475,no,no,7,3.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
56,housemaid,divorced,secondary,no,977,no,no,7,20.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,blue-collar,single,primary,no,161,no,yes,7,4.92,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
40,management,divorced,tertiary,no,492,no,yes,7,2.08,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,admin.,married,secondary,no,0,no,no,7,1.3,11,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,admin.,married,primary,no,40,yes,yes,7,2.9,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
34,blue-collar,married,secondary,no,205,yes,yes,7,5.15,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
26,blue-collar,single,secondary,no,123,no,yes,7,3.48,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,management,married,secondary,no,0,no,yes,7,10.5,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
58,blue-collar,married,secondary,no,2146,no,no,7,3.43,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,blue-collar,married,primary,no,63,no,yes,7,4.05,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,technician,married,secondary,no,-428,no,no,7,7.52,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
40,management,married,tertiary,no,0,no,no,7,1.85,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
52,technician,divorced,tertiary,yes,-1014,no,yes,7,2.57,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
38,technician,married,secondary,no,-228,yes,no,7,2.7,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,blue-collar,single,secondary,no,-42,no,no,7,1.43,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
25,blue-collar,single,secondary,no,218,no,yes,7,7.47,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
57,blue-collar,married,primary,no,282,no,yes,7,4.35,12,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,services,married,secondary,no,123,no,yes,7,2.52,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
48,blue-collar,married,primary,no,14,no,yes,7,2.0,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,blue-collar,married,secondary,no,247,no,yes,7,3.32,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
38,housemaid,divorced,secondary,no,216,no,no,7,1.62,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,technician,married,secondary,no,-28,no,no,7,8.85,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
40,blue-collar,married,secondary,no,326,yes,yes,7,1.87,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
31,admin.,single,secondary,no,119,no,no,7,1.33,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
34,blue-collar,married,primary,no,69,no,no,7,0.68,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,blue-collar,married,primary,no,707,no,no,7,3.5,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
44,housemaid,married,primary,no,-227,no,yes,7,2.55,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,blue-collar,single,secondary,yes,1085,yes,yes,7,9.98,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
34,blue-collar,divorced,secondary,no,368,no,yes,7,36.68,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
35,entrepreneur,married,primary,yes,25,no,yes,7,3.93,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
43,management,divorced,tertiary,no,-132,yes,yes,7,8.87,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
59,blue-collar,divorced,primary,no,1265,no,yes,7,14.15,1,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
46,management,married,secondary,no,700,no,yes,7,2.27,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
55,blue-collar,single,secondary,no,82,no,yes,7,8.33,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,housemaid,married,primary,no,1529,no,no,7,1.02,6,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
59,management,single,tertiary,no,623,yes,no,7,3.53,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
39,technician,married,secondary,no,-241,yes,yes,7,5.62,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
26,technician,divorced,tertiary,no,278,yes,yes,7,24.45,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
33,blue-collar,married,secondary,no,1834,yes,no,7,1.95,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
32,technician,single,secondary,no,-398,no,yes,7,6.45,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,technician,divorced,secondary,no,0,no,no,7,5.88,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
29,services,married,secondary,no,-597,no,no,7,8.33,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
31,blue-collar,single,secondary,no,16,no,no,7,6.45,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
37,admin.,married,secondary,no,10,no,yes,7,2.7,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
50,admin.,single,secondary,no,-79,no,yes,7,1.17,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
27,management,single,tertiary,no,338,no,yes,7,8.92,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
47,management,married,tertiary,no,-50,no,yes,7,2.92,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
47,technician,single,secondary,no,-239,yes,yes,7,16.22,3,-1,0,success,1,7,-42.7,1.4,4.955,5228.1,93.918
47,housemaid,married,tertiary,no,333,no,no,7,2.35,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
51,services,married,secondary,no,867,yes,no,7,7.03,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
57,retired,married,secondary,no,-37,no,yes,7,5.9,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
44,technician,divorced,secondary,no,0,yes,no,7,13.92,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
51,management,married,tertiary,no,1392,no,no,7,8.52,3,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
28,blue-collar,married,primary,no,-196,no,no,7,3.48,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
41,admin.,single,secondary,no,0,yes,yes,7,2.77,1,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
30,management,single,secondary,no,269,no,yes,7,19.42,2,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
25,blue-collar,single,secondary,no,913,yes,no,7,1.88,4,-1,0,success,0,7,-42.7,1.4,4.955,5228.1,93.918
